match_id,family,estimand,estimate,ci_low,ci_high,valid,attempted
J03WOY,primary,D4,0.030818130695458024,0.014631395080291723,0.05015435315165033,2000,2000
J03WOY,primary,D5,0.024840748487857056,0.005592849257127061,0.04415785959770736,2000,2000
J03WOY,primary,D6,0.047001898128143094,0.025848863601533798,0.07134499667944526,2000,2000
J03WOY,primary,D7,0.026407681195936616,0.00999093349637641,0.04375216278327804,2000,2000
J03WOY,primary,D8,0.029891219488511298,0.011820351769517746,0.04869378407092298,2000,2000
J03WOY,primary,D9,0.04831347662568086,0.027561792921525673,0.07038814284220092,2000,2000
J03WOY,primary,D10,0.06700838411174177,0.040125275250303835,0.0955259022366714,2000,2000
J03WOY,primary,near,0.0708599563829594,0.052003529463643686,0.09269109144961718,2000,2000
J03WOY,primary,middle,0.0322671146268487,0.018768841686742803,0.0480426163899199,2000,2000
J03WOY,primary,far,0.04840436007531131,0.030025056893916505,0.06890877996985913,2000,2000
J03WOY,primary,near_minus_middle,0.038592841756110705,0.02630338954131151,0.05389440264491559,2000,2000
J03WOY,secondary,D1,0.09146691358351156,0.06798204597578864,0.11966705771272391,2000,2000
J03WOY,secondary,D2,0.0524807325277495,0.03345777729444621,0.07419466305822812,2000,2000
J03WOY,secondary,D3,0.05040796803516456,0.03260955966620534,0.07058720771041814,2000,2000
J03WOY,secondary,D4,0.04676765007996647,0.028959512664632862,0.06687804081711454,2000,2000
J03WOY,secondary,D5,0.04322516509434701,0.026000002256204087,0.06217601209116407,2000,2000
J03WOY,secondary,D6,0.05369784413312917,0.03521142618220087,0.07518280167498868,2000,2000
J03WOY,secondary,D7,0.03788149948723456,0.020876082283403017,0.05715681951062608,2000,2000
J03WOY,secondary,D8,0.04790168561541912,0.030050887967301668,0.0672188652082791,2000,2000
J03WOY,secondary,D9,0.05312486670217875,0.034577607534013094,0.07463158196713819,2000,2000
J03WOY,secondary,D10,0.06628059494303448,0.04518917398218102,0.0896980930840957,2000,2000
J03WOY,secondary,near,0.0647852047154752,0.04639284704349575,0.08613903516523165,2000,2000
J03WOY,secondary,middle,0.0453930396986693,0.0296224297931777,0.06405038619360778,2000,2000
J03WOY,secondary,far,0.055769049086877444,0.037611135896028616,0.07561866987271093,2000,2000
J03WOY,secondary,near_minus_middle,0.019392165016805907,0.011682245408769627,0.028484012215915473,2000,2000
J03WOY,trimmed,D1,0.1354028516066208,0.1079210491672674,0.16266612128541472,2000,2000
J03WOY,trimmed,D2,0.06121512294720027,0.03932927043828928,0.08426523292931234,2000,2000
J03WOY,trimmed,D3,0.03975293234860522,0.020211357898515997,0.061436980366447354,2000,2000
J03WOY,trimmed,D4,0.04110124417564376,0.02364455486914356,0.05993668755719283,2000,2000
J03WOY,trimmed,D5,0.0391514042162934,0.01788549826813461,0.05892940103442067,2000,2000
J03WOY,trimmed,D6,0.056707428746258975,0.0306059061547953,0.08278640263396012,2000,2000
J03WOY,trimmed,D7,0.03894731217288824,0.02090492048078415,0.05749224981293328,2000,2000
J03WOY,trimmed,D8,0.04060977359895676,0.02006561926436536,0.060502664680800206,2000,2000
J03WOY,trimmed,D9,0.060154609749956914,0.036301615905506276,0.08341405933019931,2000,2000
J03WOY,trimmed,D10,0.0777702353053982,0.0473217790219155,0.10723532913991562,2000,2000
J03WOY,trimmed,near,0.07879030230080876,0.061742196080715094,0.09682149966596064,2000,2000
J03WOY,trimmed,middle,0.043976847327771094,0.029511350304673122,0.059303834770767984,2000,2000
J03WOY,trimmed,far,0.05951153955143729,0.03892070831199577,0.07957048033271671,2000,2000
J03WOY,trimmed,near_minus_middle,0.034813454973037665,0.020801185817960016,0.048554078684335825,2000,2000
J03WPY,primary,D1,0.1614049725763614,0.1393916466915574,0.18523392967273278,2000,2000
J03WPY,primary,D2,0.08069153107004733,0.05906616066156098,0.10365230702073773,2000,2000
J03WPY,primary,D3,0.0563817531366515,0.036472944518219454,0.07691146041356584,2000,2000
J03WPY,primary,D4,0.061315969635859835,0.0414882694809462,0.08202004086053549,2000,2000
J03WPY,primary,D5,0.04646065138871809,0.02595807065787483,0.06644252968205726,2000,2000
J03WPY,primary,D6,0.05515902339891107,0.033049571222319454,0.07717638794519202,2000,2000
J03WPY,primary,D7,0.05424492138862402,0.03527402999008287,0.07322288402278498,2000,2000
J03WPY,primary,D8,0.035634185520761794,0.015821456911126828,0.05647091737074103,2000,2000
J03WPY,primary,D9,0.0640099732463827,0.03944857723477604,0.08928409520060178,2000,2000
J03WPY,primary,D10,0.06350566841645203,0.04029062033191959,0.08837095933195843,2000,2000
J03WPY,primary,near,0.09949275226102007,0.08293429440120047,0.11718845749695925,2000,2000
J03WPY,primary,middle,0.05429514145302826,0.039547569588461166,0.06960323586250997,2000,2000
J03WPY,primary,far,0.054383275727865506,0.03645709669990377,0.07285319829743232,2000,2000
J03WPY,primary,near_minus_middle,0.04519761080799181,0.032796266393500695,0.0597145385174227,2000,2000
J03WPY,secondary,D1,0.12010904715044277,0.10024702941083154,0.1401325510447193,2000,2000
J03WPY,secondary,D2,0.07698919648068278,0.058467180398769865,0.09739883178380822,2000,2000
J03WPY,secondary,D3,0.06440822654098699,0.04745201404456476,0.08296499451073394,2000,2000
J03WPY,secondary,D4,0.0703947053043178,0.05409013562032533,0.0886732914385458,2000,2000
J03WPY,secondary,D5,0.05899813947747782,0.042796191620770994,0.0761549964178705,2000,2000
J03WPY,secondary,D6,0.06203509704596369,0.043881477350350084,0.07986101752092778,2000,2000
J03WPY,secondary,D7,0.06409873535038302,0.04848302920476219,0.08151125541925318,2000,2000
J03WPY,secondary,D8,0.04929711047939381,0.031452734687458773,0.0680122593444557,2000,2000
J03WPY,secondary,D9,0.06735391729729706,0.045645328619607246,0.08989552850120719,2000,2000
J03WPY,secondary,D10,0.07807915848575209,0.05670796558506681,0.10140482838005822,2000,2000
J03WPY,secondary,near,0.08716882339070418,0.07067322161581374,0.1042774891189818,2000,2000
J03WPY,secondary,middle,0.06388166929453558,0.04924060693277267,0.07934016460752723,2000,2000
J03WPY,secondary,far,0.06491006208748099,0.04709141082533849,0.08359090324650877,2000,2000
J03WPY,secondary,near_minus_middle,0.023287154096168605,0.01586685424975812,0.030838177595684704,2000,2000
J03WPY,trimmed,D1,0.15989161776399347,0.13947609136070513,0.18192657481833288,2000,2000
J03WPY,trimmed,D2,0.08417458002716757,0.06165553148489106,0.10619232205989523,2000,2000
J03WPY,trimmed,D3,0.0619585650445883,0.043010618970115565,0.08094531812831121,2000,2000
J03WPY,trimmed,D4,0.06708366947355665,0.045238047943511266,0.08962858591993808,2000,2000
J03WPY,trimmed,D5,0.05411854492695617,0.03330130869000253,0.0746314797711706,2000,2000
J03WPY,trimmed,D6,0.05740664483322908,0.03468104269773827,0.07930706712319943,2000,2000
J03WPY,trimmed,D7,0.062768947001062,0.04448248812583541,0.08133617755196904,2000,2000
J03WPY,trimmed,D8,0.03407824926096589,0.013091862984899474,0.05565652272313384,2000,2000
J03WPY,trimmed,D9,0.07235288452485286,0.044460065322298174,0.09858534874502914,2000,2000
J03WPY,trimmed,D10,0.08045414854863156,0.05696680841804343,0.1030023335776052,2000,2000
J03WPY,trimmed,near,0.10200825427858311,0.08569350829718242,0.11785767954269642,2000,2000
J03WPY,trimmed,middle,0.060344451558700975,0.046493438137159754,0.07433313116455838,2000,2000
J03WPY,trimmed,far,0.062295094111483436,0.042793921152795004,0.08081407033669197,2000,2000
J03WPY,trimmed,near_minus_middle,0.04166380271988213,0.02797658754171372,0.05627272393325506,2000,2000
J03WQQ,primary,D1,0.1639460104652822,0.13621500113032262,0.19130307970788635,2000,2000
J03WQQ,primary,D2,0.0795948465927081,0.05265397463890305,0.10711834693044667,2000,2000
J03WQQ,primary,D3,0.05556726001456422,0.03316158952015527,0.07836916948429795,2000,2000
J03WQQ,primary,D4,0.05816569899288182,0.034612919419828324,0.08262446095019825,2000,2000
J03WQQ,primary,D5,0.04135954656515581,0.02065032975711435,0.06175929503682628,2000,2000
J03WQQ,primary,D6,0.039046764101609316,0.015148821760573956,0.06329183368695555,2000,2000
J03WQQ,primary,D7,0.0330750080666303,0.011508353793257578,0.05601163472768224,2000,2000
J03WQQ,primary,D8,0.057579596985973786,0.034122648680806104,0.08217953425748531,2000,2000
J03WQQ,primary,D9,0.06715513527521637,0.04555318354282082,0.09125452952582497,2000,2000
J03WQQ,primary,D10,0.06007712262701874,0.03223087911162649,0.08847408183728225,2000,2000
J03WQQ,primary,near,0.0997027056908515,0.07938768016218423,0.12123087864564135,2000,2000
J03WQQ,primary,middle,0.04291175443156931,0.024824162583717706,0.06113713282306736,2000,2000
J03WQQ,primary,far,0.061603951629402964,0.04287703172045443,0.08160718335147932,2000,2000
J03WQQ,primary,near_minus_middle,0.05679095125928219,0.04187623140991513,0.07132208380130854,2000,2000
J03WQQ,secondary,D1,0.11724916994212531,0.09533930101018587,0.1414257384101384,2000,2000
J03WQQ,secondary,D2,0.06971999898815526,0.04566015801884129,0.0949639509364553,2000,2000
J03WQQ,secondary,D3,0.06691934639529779,0.043756559274259345,0.09052851495711503,2000,2000
J03WQQ,secondary,D4,0.06647416489227909,0.04414495121824342,0.08853009201283826,2000,2000
