analysis,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
primary_K3_2s,J03WOH,B4,J03WR9,0.1,2.131368522123993,0,solve
primary_K3_2s,J03WOH,B4,J03WR9,1.0,2.131372136913374,0,solve
primary_K3_2s,J03WOH,B4,J03WR9,10.0,2.1314088383073257,0,solve
primary_K3_2s,J03WOH,B4,J03WR9,100.0,2.1317939202454985,0,solve
primary_K3_2s,J03WOH,B5,J03WMX,0.01,2.1141405096087045,0,solve
primary_K3_2s,J03WOH,B5,J03WMX,0.1,2.1141397185239064,0,solve
primary_K3_2s,J03WOH,B5,J03WMX,1.0,2.11413186816312,0,solve
primary_K3_2s,J03WOH,B5,J03WMX,10.0,2.11406010039622,0,solve
primary_K3_2s,J03WOH,B5,J03WMX,100.0,2.11385036357764,0,solve
primary_K3_2s,J03WOH,B5,J03WN1,0.01,1.9139698409150294,0,solve
primary_K3_2s,J03WOH,B5,J03WN1,0.1,1.9139730610870473,0,solve
primary_K3_2s,J03WOH,B5,J03WN1,1.0,1.9140051475961444,0,solve
primary_K3_2s,J03WOH,B5,J03WN1,10.0,1.9143169343627051,0,solve
primary_K3_2s,J03WOH,B5,J03WN1,100.0,1.9168804824942673,0,solve
primary_K3_2s,J03WOH,B5,J03WOY,0.01,2.1068643468786803,0,solve
primary_K3_2s,J03WOH,B5,J03WOY,0.1,2.1068649910187474,0,solve
primary_K3_2s,J03WOH,B5,J03WOY,1.0,2.1068714271506015,0,solve
primary_K3_2s,J03WOH,B5,J03WOY,10.0,2.1069364465880853,0,solve
primary_K3_2s,J03WOH,B5,J03WOY,100.0,2.107609409307218,0,solve
primary_K3_2s,J03WOH,B5,J03WPY,0.01,2.0782008853418152,0,solve
primary_K3_2s,J03WOH,B5,J03WPY,0.1,2.078202315765207,0,solve
primary_K3_2s,J03WOH,B5,J03WPY,1.0,2.078216625500091,0,solve
primary_K3_2s,J03WOH,B5,J03WPY,10.0,2.078362269139926,0,solve
primary_K3_2s,J03WOH,B5,J03WPY,100.0,2.0799353643058307,0,solve
primary_K3_2s,J03WOH,B5,J03WQQ,0.01,2.222574654386684,0,solve
