grid_x_m,grid_y_m,bandwidth_m,support_profile,support_valid,equal_match_local_mean_m
24,-30.5,5,conservative,True,0.357518648668
25,-30.5,5,conservative,True,0.35996295871
26,-30.5,5,conservative,True,0.366334318318
27,-30.5,5,conservative,True,0.362414573561
28,-30.5,5,conservative,True,0.370800519334
29,-30.5,5,conservative,True,0.376624372392
30,-30.5,5,conservative,True,0.374579858382
31,-30.5,5,conservative,True,0.382279675428
32,-30.5,5,conservative,True,0.392121900593
33,-30.5,5,conservative,True,0.394352985762
34,-30.5,5,conservative,True,0.398874733012
35,-30.5,5,conservative,True,0.409776729183
36,-30.5,5,conservative,True,0.418753600575
37,-30.5,5,conservative,False,
38,-30.5,5,conservative,False,
39,-30.5,5,conservative,False,
40,-30.5,5,conservative,False,
41,-30.5,5,conservative,False,
42,-30.5,5,conservative,False,
43,-30.5,5,conservative,False,
44,-30.5,5,conservative,False,
45,-30.5,5,conservative,False,
46,-30.5,5,conservative,False,
47,-30.5,5,conservative,False,
48,-30.5,5,conservative,False,
49,-30.5,5,conservative,False,
50,-30.5,5,conservative,False,
51,-30.5,5,conservative,False,
52,-30.5,5,conservative,False,
-52,-29.5,5,conservative,False,
-51,-29.5,5,conservative,False,
-50,-29.5,5,conservative,False,
-49,-29.5,5,conservative,False,
-48,-29.5,5,conservative,False,
-47,-29.5,5,conservative,False,
-46,-29.5,5,conservative,False,
-45,-29.5,5,conservative,False,
-44,-29.5,5,conservative,False,
-43,-29.5,5,conservative,True,0.436018471699
-42,-29.5,5,conservative,True,0.425692052709
-41,-29.5,5,conservative,True,0.400598648048
-40,-29.5,5,conservative,True,0.379870333056
-39,-29.5,5,conservative,True,0.375431241915
-38,-29.5,5,conservative,True,0.372991323678
-37,-29.5,5,conservative,True,0.360193155512
-36,-29.5,5,conservative,True,0.342220225809
-35,-29.5,5,conservative,True,0.321905474215
-34,-29.5,5,conservative,True,0.308916560554
-33,-29.5,5,conservative,True,0.295708863599
-32,-29.5,5,conservative,True,0.294563868081
-31,-29.5,5,conservative,True,0.287360260028
-30,-29.5,5,conservative,True,0.283696094087
-29,-29.5,5,conservative,True,0.276162713343
-28,-29.5,5,conservative,True,0.271747896703
-27,-29.5,5,conservative,True,0.266270100006
-26,-29.5,5,conservative,True,0.25650546893
-25,-29.5,5,conservative,True,0.258797340947
-24,-29.5,5,conservative,True,0.272159354807
-23,-29.5,5,conservative,True,0.276123885139
-22,-29.5,5,conservative,True,0.279800841511
-21,-29.5,5,conservative,True,0.284491953999
-20,-29.5,5,conservative,True,0.284656361824
-19,-29.5,5,conservative,True,0.288411333311
-18,-29.5,5,conservative,True,0.296961318043
-17,-29.5,5,conservative,True,0.298082652154
-16,-29.5,5,conservative,True,0.294904913592
-15,-29.5,5,conservative,True,0.291551990719
-14,-29.5,5,conservative,True,0.283583552156
-13,-29.5,5,conservative,True,0.268112876175
-12,-29.5,5,conservative,True,0.254727841152
-11,-29.5,5,conservative,True,0.242205574935
-10,-29.5,5,conservative,True,0.2326806509
-9,-29.5,5,conservative,True,0.21641298964
-8,-29.5,5,conservative,True,0.20446463806
-7,-29.5,5,conservative,True,0.191596308768
-6,-29.5,5,conservative,True,0.184520137689
-5,-29.5,5,conservative,True,0.173628179399
-4,-29.5,5,conservative,True,0.169056772876
-3,-29.5,5,conservative,True,0.158782479378
-2,-29.5,5,conservative,True,0.153729839946
-1,-29.5,5,conservative,True,0.145370407294
0,-29.5,5,conservative,True,0.139224632649
1,-29.5,5,conservative,True,0.133485004882
2,-29.5,5,conservative,True,0.129415627094
3,-29.5,5,conservative,True,0.124764999116
4,-29.5,5,conservative,True,0.1228753969
5,-29.5,5,conservative,True,0.118990986801
6,-29.5,5,conservative,True,0.119046514181
7,-29.5,5,conservative,True,0.122383099016
8,-29.5,5,conservative,True,0.127566467216
9,-29.5,5,conservative,True,0.132389115314
10,-29.5,5,conservative,True,0.144436086079
