replicate,absolute_improvement_mps,relative_improvement_percent
345,-0.000448540924725,-0.0612607042052
346,-0.000459739268204,-0.062685995295
347,-0.000577242408382,-0.0811467866728
348,-0.000455259482501,-0.0628682695098
349,-0.000291414429966,-0.0405306078604
350,-0.000682587737704,-0.0930883467909
351,-0.000411867476731,-0.0584497278702
352,-0.000590541718832,-0.0798774207401
353,-0.000474556936883,-0.0656223688284
354,-0.000622345311232,-0.0844550488242
355,-0.000343638523507,-0.0464857469805
356,-0.00027848057527,-0.0386451460352
357,-0.000520816250421,-0.0710271006717
358,-0.000523917223211,-0.0727001587036
359,-0.00038463310388,-0.0538757283511
360,-0.00047299344542,-0.0654250216095
361,-0.000574132131059,-0.0791715581234
362,-0.000387872773221,-0.0543566711306
363,-0.000458190750468,-0.0633282885549
364,-0.000471177775125,-0.0644951882676
365,-0.000446566982991,-0.0613632971186
366,-0.000556914640541,-0.0764344124372
367,-0.000221625267155,-0.0302646250301
368,-0.000449866376624,-0.0618067700794
369,-0.000790959677248,-0.109094063346
370,-0.000222386455342,-0.0297564068159
371,-0.000561495972872,-0.0799356291272
372,-0.00045361420827,-0.0614616575315
373,-0.000202707109512,-0.0277566792568
374,-0.000474438474212,-0.0654320101187
375,-0.000609923826138,-0.0844513807126
376,-0.00059383768879,-0.082653548009
377,-0.000194634299448,-0.0268841805533
378,-0.000528377276138,-0.072885317912
379,-0.000324034049062,-0.0449948115211
380,-0.000553361442708,-0.0756162796286
381,-0.000582224093708,-0.0840683218348
382,-0.000642594096599,-0.0898935321734
383,-0.000661438067474,-0.0952191492403
384,-0.000497537748107,-0.0687707386253
385,-0.000312013920313,-0.0434205641491
386,-0.000373003628939,-0.0510790950202
387,-0.000531183190399,-0.0740102207319
388,-0.000515058194258,-0.0736200482421
389,-0.000418603776772,-0.0576710770507
390,-0.00054175762524,-0.0757034718385
391,-0.000330729065661,-0.0452555573304
392,-0.000107461751353,-0.0149930841952
393,-0.00046291023587,-0.0633267775977
394,-0.000391973497421,-0.0536791297136
395,-0.000188767072482,-0.0252948805118
396,-0.000556248724361,-0.0742795201082
