history,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
2s,J03WN1,B3,J03WQQ,0.01,2.2436460111009264,0,solve
2s,J03WN1,B3,J03WQQ,0.1,2.243646287939964,0,solve
2s,J03WN1,B3,J03WQQ,1.0,2.243649055568635,0,solve
2s,J03WN1,B3,J03WQQ,10.0,2.243676656386897,0,solve
2s,J03WN1,B3,J03WQQ,100.0,2.2440347071322106,0,solve
2s,J03WN1,B3,J03WR9,0.01,2.1426178011480714,0,solve
2s,J03WN1,B3,J03WR9,0.1,2.1426182709283155,0,solve
2s,J03WN1,B3,J03WR9,1.0,2.1426229652380635,0,solve
2s,J03WN1,B3,J03WR9,10.0,2.1426695625270606,0,solve
2s,J03WN1,B3,J03WR9,100.0,2.1431760710703975,0,solve
2s,J03WN1,B4,J03WMX,0.01,2.120303157149951,0,solve
2s,J03WN1,B4,J03WMX,0.1,2.1203030358525856,0,solve
2s,J03WN1,B4,J03WMX,1.0,2.120301829815293,0,solve
2s,J03WN1,B4,J03WMX,10.0,2.120294717350085,0,solve
2s,J03WN1,B4,J03WMX,100.0,2.120340457033686,0,solve
2s,J03WN1,B4,J03WOH,0.01,2.118831586342167,0,solve
2s,J03WN1,B4,J03WOH,0.1,2.1188303809625486,0,solve
2s,J03WN1,B4,J03WOH,1.0,2.1188185094962892,0,solve
2s,J03WN1,B4,J03WOH,10.0,2.1187171847822084,0,solve
2s,J03WN1,B4,J03WOH,100.0,2.118595186925337,0,solve
2s,J03WN1,B4,J03WOY,0.01,2.126115085627947,0,solve
2s,J03WN1,B4,J03WOY,0.1,2.126116019190955,0,solve
2s,J03WN1,B4,J03WOY,1.0,2.1261253729289176,0,solve
2s,J03WN1,B4,J03WOY,10.0,2.12621843658707,0,solve
2s,J03WN1,B4,J03WOY,100.0,2.1271396085310506,0,solve
2s,J03WN1,B4,J03WPY,0.01,2.0814317235513626,0,solve
2s,J03WN1,B4,J03WPY,0.1,2.08143333873728,0,solve
2s,J03WN1,B4,J03WPY,1.0,2.081449521873926,0,solve
2s,J03WN1,B4,J03WPY,10.0,2.081611430983038,0,solve
2s,J03WN1,B4,J03WPY,100.0,2.0831729850151004,0,solve
2s,J03WN1,B4,J03WQQ,0.01,2.2372771368771,0,solve
2s,J03WN1,B4,J03WQQ,0.1,2.2372774399727,0,solve
2s,J03WN1,B4,J03WQQ,1.0,2.2372804663888917,0,solve
2s,J03WN1,B4,J03WQQ,10.0,2.237310312025654,0,solve
2s,J03WN1,B4,J03WQQ,100.0,2.2376527938247195,0,solve
2s,J03WN1,B4,J03WR9,0.01,2.1359138044000043,0,solve
2s,J03WN1,B4,J03WR9,0.1,2.135914220847379,0,solve
2s,J03WN1,B4,J03WR9,1.0,2.135918375556403,0,solve
2s,J03WN1,B4,J03WR9,10.0,2.135962062066733,0,solve
2s,J03WN1,B4,J03WR9,100.0,2.136422464120709,0,solve
2s,J03WOH,B1,J03WMX,0.01,2.1605891050372072,0,solve
2s,J03WOH,B1,J03WMX,0.1,2.1605894683593725,0,solve
2s,J03WOH,B1,J03WMX,1.0,2.160593101492198,0,solve
2s,J03WOH,B1,J03WMX,10.0,2.160629491548514,0,solve
2s,J03WOH,B1,J03WMX,100.0,2.160993284323847,0,solve
2s,J03WOH,B1,J03WN1,0.01,2.0347238700148274,0,solve
