history,outer_heldout_match,model,bin,realized_bins,lower_edge,upper_edge,n,predicted_mean,predicted_median,observed_mean,observed_median,calibration_slope,calibration_intercept
2s,J03WQQ,B2,5,5,7.230113548932767,58.89479919516104,1474,8.978804937530185,8.508382910969392,8.986286302379154,8.253979909744487,,
2s,J03WQQ,B2,ALL,5,,,6296,5.962142529903467,5.648713571893092,6.067065590891389,5.229199751075936,0.9868555410338365,0.18329219882265727
2s,J03WQQ,B3,1,5,1.5233787118056723,3.9365991399944114,1040,3.3857119661739055,3.4610478890350516,3.0561444126201476,2.595056007167835,,
2s,J03WQQ,B3,2,5,3.9365991399944114,4.86328427376789,1055,4.406034932871777,4.404250051671411,4.256833605620194,3.764966900354486,,
2s,J03WQQ,B3,3,5,4.86328427376789,5.934424263215279,1324,5.39864064612121,5.408838980987396,5.7387962185436665,5.078699050556767,,
2s,J03WQQ,B3,4,5,5.934424263215279,7.338659120270857,1419,6.592527239594034,6.558331987058359,6.808678362675059,6.222948744143656,,
2s,J03WQQ,B3,5,5,7.338659120270857,54.61048820073728,1458,9.070798291208332,8.593855034983847,9.100970183271738,8.416019545025485,,
2s,J03WQQ,B3,ALL,5,,,6296,6.019270580691035,5.70973123889406,6.067065590891389,5.229199751075936,1.001536339832458,0.03854736504490052
2s,J03WQQ,B4,1,5,1.5313273721091978,3.92854330534389,1060,3.3620177344256468,3.4511572354480906,3.034316150585415,2.6367742221045614,,
2s,J03WQQ,B4,2,5,3.92854330534389,4.871406315559824,1071,4.4070746560721465,4.424940366327476,4.267756108129464,3.693035004505177,,
2s,J03WQQ,B4,3,5,4.871406315559824,5.925396583561071,1272,5.393683313962493,5.389737239890831,5.800378145684126,5.225420947831065,,
2s,J03WQQ,B4,4,5,5.925396583561071,7.339536023001844,1434,6.576151184756121,6.552800310474225,6.786801318487326,6.166643584268904,,
2s,J03WQQ,B4,5,5,7.339536023001844,54.257134153748495,1459,9.081770767011044,8.616241548254662,9.11634609787796,8.374668201189182,,
2s,J03WQQ,B4,ALL,5,,,6296,6.007780380958407,5.70828262068563,6.067065590891389,5.229199751075936,0.9987109091617427,0.06702978458034253
2s,J03WR9,B1,1,5,2.691965052567485,4.176748362792331,1045,3.7129792115646065,3.7826379782590185,3.3967696337380366,2.8920194933559222,,
2s,J03WR9,B1,2,5,4.176748362792331,4.929414549733463,1429,4.558306329459634,4.55723579109028,4.634613644295646,3.9454884161178394,,
2s,J03WR9,B1,3,5,4.929414549733463,5.728222530161637,1443,5.319318828949726,5.310389126845208,5.619292380182302,5.1036383056077,,
2s,J03WR9,B1,4,5,5.728222530161637,7.029482199951678,1305,6.310064901120966,6.284250042819125,6.785013390831281,6.264575747255309,,
2s,J03WR9,B1,5,5,7.029482199951678,68.43046663955671,1334,8.920920263172247,8.332434598766877,8.77076913786192,8.087672648266391,,
2s,J03WR9,B1,ALL,5,,,6556,5.827456134547273,5.356687815440237,5.923699599527214,5.149043050838834,0.9450319578401989,0.4165673194681317
