period,time_period_s,reason,available
2,1174.04,restart_or_ball_out_span,
2,1178.04,complete_ten_attackers_unavailable,9.0
2,1182.04,complete_ten_attackers_unavailable,9.0
2,1186.04,complete_ten_attackers_unavailable,9.0
2,1190.04,complete_ten_attackers_unavailable,9.0
2,1194.04,opponent_possession_event_after_anchor,
2,1198.04,complete_ten_attackers_unavailable,9.0
2,1202.04,complete_ten_attackers_unavailable,9.0
2,1206.04,complete_ten_attackers_unavailable,9.0
2,1210.04,complete_ten_attackers_unavailable,9.0
2,1214.04,complete_ten_attackers_unavailable,9.0
2,1218.04,complete_ten_attackers_unavailable,9.0
2,1222.04,complete_ten_attackers_unavailable,9.0
2,1226.04,complete_ten_attackers_unavailable,9.0
2,1230.04,complete_ten_attackers_unavailable,9.0
2,1234.04,complete_ten_attackers_unavailable,9.0
2,1238.04,complete_ten_attackers_unavailable,9.0
2,1242.04,complete_ten_attackers_unavailable,9.0
2,1246.04,complete_ten_attackers_unavailable,9.0
2,1250.04,restart_or_ball_out_span,
2,1254.04,complete_ten_attackers_unavailable,9.0
2,1258.04,complete_ten_attackers_unavailable,9.0
2,1262.04,complete_ten_attackers_unavailable,9.0
2,1266.04,opponent_possession_event_after_anchor,
2,1270.04,complete_ten_attackers_unavailable,9.0
2,1274.04,complete_ten_attackers_unavailable,9.0
2,1278.04,complete_ten_attackers_unavailable,9.0
2,1282.04,complete_ten_attackers_unavailable,9.0
2,1286.04,complete_ten_attackers_unavailable,9.0
2,1290.04,restart_or_ball_out_span,
2,1294.04,complete_ten_attackers_unavailable,9.0
2,1298.04,complete_ten_attackers_unavailable,9.0
2,1302.04,complete_ten_attackers_unavailable,9.0
2,1306.04,complete_ten_attackers_unavailable,9.0
2,1310.04,complete_ten_attackers_unavailable,9.0
2,1314.04,complete_ten_attackers_unavailable,9.0
2,1318.04,opponent_possession_event_after_anchor,
2,1322.04,complete_ten_attackers_unavailable,9.0
2,1326.04,complete_ten_attackers_unavailable,9.0
2,1330.04,complete_ten_attackers_unavailable,9.0
2,1334.04,complete_ten_attackers_unavailable,9.0
2,1338.04,complete_ten_attackers_unavailable,9.0
2,1342.04,complete_ten_attackers_unavailable,9.0
2,1346.04,complete_ten_attackers_unavailable,9.0
2,1350.04,complete_ten_attackers_unavailable,9.0
2,1354.04,complete_ten_attackers_unavailable,9.0
2,1358.04,complete_ten_attackers_unavailable,9.0
2,1362.04,complete_ten_attackers_unavailable,9.0
2,1366.04,complete_ten_attackers_unavailable,9.0
2,1370.04,complete_ten_attackers_unavailable,9.0
2,1374.04,opponent_possession_event_after_anchor,
2,1378.04,complete_ten_attackers_unavailable,9.0
2,1382.04,complete_ten_attackers_unavailable,9.0
2,1386.04,complete_ten_attackers_unavailable,9.0
2,1390.04,complete_ten_attackers_unavailable,9.0
2,1394.04,complete_ten_attackers_unavailable,9.0
2,1398.04,complete_ten_attackers_unavailable,9.0
2,1402.04,complete_ten_attackers_unavailable,9.0
2,1406.04,complete_ten_attackers_unavailable,9.0
2,1410.04,complete_ten_attackers_unavailable,9.0
2,1414.04,complete_ten_attackers_unavailable,9.0
2,1418.04,complete_ten_attackers_unavailable,9.0
2,1422.04,complete_ten_attackers_unavailable,9.0
2,1426.04,complete_ten_attackers_unavailable,9.0
2,1430.04,complete_ten_attackers_unavailable,9.0
2,1434.04,complete_ten_attackers_unavailable,9.0
2,1438.04,restart_or_ball_out_span,
2,1442.04,complete_ten_attackers_unavailable,9.0
2,1446.04,complete_ten_attackers_unavailable,9.0
2,1450.04,complete_ten_attackers_unavailable,9.0
2,1454.04,complete_ten_attackers_unavailable,9.0
2,1458.04,complete_ten_defenders_unavailable,9.0
2,1462.04,opponent_possession_event_after_anchor,
2,1466.04,complete_ten_attackers_unavailable,9.0
2,1470.04,complete_ten_attackers_unavailable,9.0
2,1474.04,complete_ten_attackers_unavailable,9.0
2,1478.04,opponent_possession_event_after_anchor,
2,1482.04,complete_ten_defenders_unavailable,9.0
