match_id,variable,distance_rank,n,median,q1,q3
J03WN1,ball_goalward_offset_from_centroid_m,10,4876,-1.19999980032,-11.3715715509,8.81700117929
J03WN1,defender_abs_lateral_offset_from_centroid_m,1,4876,7.05664282925,3.39400004365,11.9677144143
J03WN1,defender_abs_lateral_offset_from_centroid_m,2,4876,5.76800002748,2.59721415862,9.96396440268
J03WN1,defender_abs_lateral_offset_from_centroid_m,3,4876,5.42699992997,2.64957146304,9.51028585306
J03WN1,defender_abs_lateral_offset_from_centroid_m,4,4876,5.20935724991,2.30542868546,9.19042844038
J03WN1,defender_abs_lateral_offset_from_centroid_m,5,4876,5.39364284724,2.42917859554,9.8651787336
J03WN1,defender_abs_lateral_offset_from_centroid_m,6,4876,6.38250009684,3.01546444116,11.0747138773
J03WN1,defender_abs_lateral_offset_from_centroid_m,7,4876,6.66900007725,3.24403618042,10.8981428913
J03WN1,defender_abs_lateral_offset_from_centroid_m,8,4876,7.61857139724,3.72614271981,12.1880001068
J03WN1,defender_abs_lateral_offset_from_centroid_m,9,4876,9.96100004661,5.23314293453,14.4622855889
