period,frame_id,provider_time_s,kloppy_period_time_s,object_type,team_id,player_id,kloppy_player_id,is_goalkeeper,observed,x_norm,y_norm,x_m,y_m,provider_timestamp_ns,period_label,ball_state,ball_owning_team_id
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-0000LT,DFL-OBJ-0000LT,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-0000RP,DFL-OBJ-0000RP,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-0000IA,DFL-OBJ-0000IA,False,True,0.4879047619047619,0.6860294117647059,-1.27,12.65,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-J00USE,DFL-OBJ-J00USE,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-000191,DFL-OBJ-000191,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-J0117H,DFL-OBJ-J0117H,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-0027G6,DFL-OBJ-0027G6,False,True,0.5089523809523809,0.49132352941176466,0.94,-0.59,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-0002F5,DFL-OBJ-0002F5,False,True,0.4140952380952381,0.47147058823529414,-9.02,-1.94,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-0026PM,DFL-OBJ-0026PM,False,True,0.5073333333333334,0.9873529411764705,0.77,33.14,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-0002AU,DFL-OBJ-0002AU,False,True,0.5003809523809524,0.17852941176470588,0.04,-21.86,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-J015S4,DFL-OBJ-J015S4,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-0027KL,DFL-OBJ-0027KL,False,True,0.34838095238095235,0.5138235294117647,-15.92,0.94,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-0027G0,DFL-OBJ-0027G0,False,True,0.3773333333333333,0.22264705882352942,-12.88,-18.86,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-J017RE,DFL-OBJ-J017RE,False,True,0.3021904761904762,0.6344117647058823,-20.77,9.14,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-J01APO,DFL-OBJ-J01APO,False,True,0.36904761904761907,0.8788235294117648,-13.75,25.76,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-J01B8N,DFL-OBJ-J01B8N,False,True,0.5070476190476191,0.6502941176470588,0.74,10.22,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-002GIC,DFL-OBJ-002GIC,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-002GCR,DFL-OBJ-002GCR,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,player,DFL-CLU-00000G,DFL-OBJ-J01N65,DFL-OBJ-J01N65,False,False,,,,,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
1,10002,1685194212.68,0.08,ball,,,,False,True,0.4907619047619048,0.49691176470588233,-0.97,-0.21,1685194212680000000,firstHalf,alive,DFL-CLU-00000G
